Area, Totale
Allergologia e immunologia,5122
Anatomia patologica,593
Andrologia,35870
Anestesia e rianimazione,1300
Audiologia e foniatria,461
Cardiochirurgia,1161
Cardiologia,20606
Cardiologia interventistica,361
Chirurgia dell'apparato digerente,2044
Chirurgia della mano,2894
Chirurgia d'urgenza e Pronto Soccorso,541
Chirurgia generale,5503
Chirurgia maxillo facciale,1828
Chirurgia pediatrica,405
Chirurgia plastica e ricostruttiva,4133
Chirurgia toracica,1503
Chirurgia vascolare e angiologia,3050
Colonproctologia,8613
Dermatologia e venereologia,22055
Diabetologia e malattie del metabolismo,1748
Ematologia,8055
